WK,Date,MKT,Platform,Cluster,Category/Campaign,Change Note,Pending,Reference,Impact,Owner,
5,2/2/2024,US,G Ads,PB,PB5,"TCPA $100 to $110, budget $11K to $12K due to low spend",,"lower spend on 2/2, $65K vs planned $78K",,Stacey,
5,2/3/2024,US,G Ads,PB,PB1,"TCPA $110 to $120, budget $11K to $13K due to low spend",,"lower spend on 2/2, $65K vs planned $78K",,Stacey,
5,2/3/2024,US,G Ads,PB,PB2,TCPA $90 to $100,,"lower spend on 2/2, $65K vs planned $78K",,Stacey,
5,2/3/2024,US,G Ads,PB,PB3,TCPA $100 to $110,,"lower spend on 2/2, $65K vs planned $78K",,Stacey,
5,2/3/2024,US,G Ads,AVT,AVT-L_Device Consolidation,TCPA $110 to $120,,"lower spend on 2/2, $65K vs planned $78K",,Stacey,
5,2/3/2024,US,G Ads,Brand,Brand: Core - [D] [EXT],Max bid from $5 to 10,,Brand trend low spend on 2/3,,Stacey,
5,2/3/2024,US,G Ads,Brand,[AVT-L] Brand: Core - [D] [EXT],Max bid from $5 to 10,,Brand trend low spend on 2/3,,Stacey,
5,2/3/2024,US,G Ads,Brand,[AVT-S] Brand: Core - [D] [EXT],Max bid from $5 to 10,,Brand trend low spend on 2/3,,Stacey,
5,2/3/2024,US,G Ads,Brand,Brand: Core - [M/T] [EXT],"Max bid from $5 to 8, target IS 95% to 97%",,Brand trend low spend on 2/3,,Stacey,
5,2/3/2024,US,G Ads,Brand,[AVT-L] Brand: Core - [M/T] [EXT],"Max bid from $5 to 8, target IS 95% to 97%",,Brand trend low spend on 2/3,,Stacey,
5,2/3/2024,US,G Ads,Brand,[AVT-S] Brand: Core - [M/T] [EXT],"Max bid from $5 to 8, target IS 95% to 97%",,Brand trend low spend on 2/3,,Stacey,
6,2/4/2024,US,G Ads,PB,PB5,Budget $12K to $11K,,,,Stacey,
6,2/4/2024,US,G Ads,PB,PB1,Budget $13K to $11K,,,,Stacey,
6,2/4/2024,US,G Ads,AVT,AVT-S,Budget $16K to $11K,,,,,
6,2/5/2024,CA,G Ads,All,All,Data exclusion from 1/23-1/30 because of DB issue.,,,,Katy,
6,2/5/2024,CA,G Ads,PB,Pure Broad 1 & 2 &3 Set,Budget increased from $2k to $2.2k as avg. daily is arounf $1.5k for Feb,,,,Katy,
6,2/5/2024,US,G Ads,AVT,AVT-S,Budget $11K to $10K,,,,,
6,2/6/2024,JP,G Ads,NB,JP_Pmax,"Removed 'Other' from conversion goal, expect converion action 'ACS_OBJ_3_1700000243_9665946831' to be gone. We only track Pixel in Pmax. Previously we double tracked 'form start' and 'form submit'.",,,,Katy,
6,2/6/2024,JP,G Ads,Brand,JP_Brand_Prime,tCPA lowered from $30 to $20 as AMO CPA is still too high. (Reg page ref does not contain PS tag),,,,Katy,
6,2/7/2024,CA,G Ads,NB Regs,NB Regs,"Enabled 412 phase 1 device parity KWs, labeled ""Phase 1 Dev Consolidation Enabled 02.07.24""",,,,Katy,
6,2/7/2024,CA,G Ads,NB Regs,NB Regs,"CA phase 1 consolidation completed. Enabled 34 Desktop campaigns to all devices and paused 25 mobile campaigns. Bidding Strategy ""NB Regs_Device Consolidation_1"" tCPA is $85 and budget is $700. The orginal tCPA is already $85, so no change on that part.",,,,Katy,
6,2/7/2024,CA,G Ads,NB Regs,NB Regs,Lowered NB Regs budget from $1.4k to $700 because of device consolidation phase 1 .,,,,Katy,
6,2/8/2024,US,G Ads,PB,PB1 and PB5,Lowered budget from $11k to $8 as spend too high,,,,Katy,
6,2/8/2024,US,G Ads,PB,PB5,tCPA lowered from $110 to $100,,,,Katy,
6,2/8/2024,US,G Ads,PB,PB3,tCPA lowered from $110 to $100,,,,Katy,
6,2/8/2024,CA,G Ads,PB,Pure Broad 1 & 2 &3 Set,"Budget decreased from $2.2k to $2k as 2/8 trending $2.7k, restructure might increase spend so we are pulling back on this portfolio",,,,Katy,
6,2/10/2024,US,G Ads,PB,PB1 and PB5,"PB 1 Budget $8K to $9K; PB 5 $8K to $10K; Fri spend is a bit low, Sat is trending low",,,,Stacey,
6,2/11/2024,US,G Ads,PB,PB1 and PB5,PB 1 Budget $9K to $10K; PB 5 $10K to $11K; Fri & Sat spend is a bit low,,,,Stacey,
7,2/12/2024,US,G Ads,BAU,BAU_Device Consolidation_Final,TCPA $95 to $90,,try to get rid off Google budget alert,,Stacey,
7,2/12/2024,US,G Ads,AVT,AVT-All & DD_Device Consolidation,TCPA $95 to $90; budge $2K to $3K,,try to get rid off Google budget alert,,Stacey,
7,2/12/2024,US,G Ads,AVT,AVT-S_Device Consolidation_Final,TCPA $110 to $105; budget $10K to $13K,,try to get rid off Google budget alert,,Stacey,
7,2/12/2024,US,G Ads,PB,PB2,TCPA $100 to $90,,,,Stacey,
7,2/12/2024,US,Bing Ads,NB,Hybrid Desktop,Budget $1.3K to $1.8K,,WoW Bing NB spend decrease,,Stacey,
7,2/12/2024,US,Bing Ads,Brand,Brand: Core - [D] [EXT],"Budget increased from $2,675 to $2.7k, max CPC cap increased from $5 to $10.",,,,Katy,
7,2/13/2024,US,G Ads,PB,PB3,TCPA $100 to $90; Budget $6K to $7K,,2/13 spend trending high on this portfolio,,Stacey,
7,2/13/2024,US,G Ads,PB,PB4,Remove AMO bidding & change to G ads bidding with TCPA $90; Budget $4,,Prep for PB device consolidation,,Stacey,
7,2/13/2024,US,G Ads,PB,PB1,TCPA $120 to $110,,,,Stacey,
7,2/14/2024,US,G Ads,BAU,BAU_Device Consolidation_Final,Budget $10K to $14K due to budget alert in G ads,,2/14 spend trend low may due to PB restructure,,Stacey,
7,2/14/2024,US,G Ads,PB,PB Phase 7,Device Consolidation_7_Mobile Off; Paused mobile campaigns,,,,Stacey,
7,2/14/2024,US,G Ads,PB,PB2,Budget $5K to $4K due to separate out campaigns for device consolidation,,,,Stacey,
7,2/14/2024,US,G Ads,PB,PB3,Budget $6K to $5.5K due to separate out campaigns for device consolidation,,,,Stacey,
7,2/14/2024,US,G Ads,PB,PB4,Budget $4K to $3.7K due to separate out campaigns for device consolidation,,,,Stacey,
7,2/14/2024,US,G Ads,PB,PB5,Budget $11K to $6.7K due to separate out campaigns for device consolidation,,,,Stacey,
7,2/14/2024,US,G Ads,BAU,BAU_Device Consolidation_Final,Budget $10K to $14K due to budget alert in G ads,,2/14 spend trend low may due to PB restructure,,Stacey,
7,2/14/2024,US,G Ads,RLSA,NB RLSA Non-AVT Max Conv,TCPA $130 to $100,,want to get rid of budget alert,,Stacey,
7,2/15/2024,US,G Ads,All,All,Negated 'LiveRamp_-_All_Registrants=1' audience list in 884 campaign in Amz Business at 10am. (Not accurate list),,,,Katy,
7,2/15/2024,US,G Ads,All,All,"Paused 643 KWs based on Data Team's file with criteria Conv=0, cost >250 at 10:18am labeled ""Data Team KW to Pause-2 02.15.24""",,,,Katy,
7,2/15/2024,CA,G Ads,All,All,"Negated 'LiveRamp_-_All_Registrants=1' audience list in 1,232 campaigns owned by Amazon Business Prime at 11:35am.",,,,Katy,
7,2/15/2024,US,G Ads,All,All,"Negated 'LiveRamp_-_All_Registrants=1' audience list in 1,447 campaigns owned by Amazon Business Prime at 12:05pm.",,,,Katy,
7,2/16/2024,CA,G Ads,AVT,AVT-S Max Conv.,tCPA lowered from $90 to $85 to adjust for actual CPA of $65.6 in AMO and $71.63 in Google.,,,,Katy,
7,2/16/2024,CA,G Ads,AVT,AVT-S Max Conv.,Budget increased from $600 to $900 to increase iE%CCP from 47% to 50%.,,,,Katy,
7,2/16/2024,CA,G Ads,PB,Pure Broad 4 & 5,Budget increased from $100 to $200 to increase iE%CCP from 47% to 50%.,,,,Katy,
7,2/16/2024,CA,G Ads,NB,NB Regs,Budget increased from $700 to $800 to increase iE%CCP from 47% to 50%.,,,,Katy,
7,2/16/2024,CA,G Ads,NB,NB Regs_Device Consolidation_1,Budget increased from $700 to $800 to increase iE%CCP from 47% to 50%.,,,,Katy,
8,2/19/2024,US,G Ads,PB,PB set 1,TCPA $110 to $105; slowly lower down tcpa to get rid of budget alert,,,,Stacey,
8,2/19/2024,US,G Ads,RLSA,AVT-RLSA Max Conv.,pause 99 AVT RLSA campaigns since no spend (only $81) since last Nov due to audience not working,,,,Stacey,
8,2/19/2024,US,G Ads,PB,PB Phase 8,"Device Consolidation_7_All Dev; target all devices, TCPA $90 with budget $7.5K; bidding portfolio: Non AVT PB_Device Consolidation_Phase 8",,,,Stacey,
8,2/19/2024,US,G Ads,PB,PB Phase 8,Device Consolidation_7_Mobile Off; Paused mobile campaigns,,,,Stacey,
8,2/19/2024,US,G Ads,PB,PB Phase 8,Enabled missed kws on related desktop campaign,,,,Stacey,
8,2/19/2024,US,G Ads,PB,PB1,Budget $10K to $8K due to separate out campaigns for device consolidation,,,,Stacey,
8,2/19/2024,US,G Ads,PB,PB2,Budget $4K to $3.5K due to separate out campaigns for device consolidation,,,,Stacey,
8,2/19/2024,US,G Ads,PB,PB3,Budget $5.5K to $4K due to separate out campaigns for device consolidation,,,,Stacey,
8,2/19/2024,US,G Ads,PB,PB4,Budget $3.7K to $3.5K due to separate out campaigns for device consolidation,,,,Stacey,
8,2/19/2024,US,G Ads,PB,PB5,Budget $6.3K to $3K due to separate out campaigns for device consolidation,,,,Stacey,
8,2/19/2024,US,Bing Ads,NB AVT,NB AVT,Pause related 13 campaigns as audiences size are small and almost no spend past 3 months,,,,Stacey,
8,2/19/2024,US,G Ads,AVT,AVT-S Max Conv.,Budget $13K to $11K; TCPA $105 to $100,,avoid daily overspend,,Stacey,
8,2/19/2024,US,G Ads,BAU,BAU_Device Consolidation_Final,TCPA $90 to $85,,AMO 100 CPA to G ads $80 CPA; pixel regs are higher than actualized AMO regs,,Stacey,
8,2/19/2024,US,G Ads,AVT,AVT-L_Device Consolidation,TCPA $120 to $100,," adj TCPA to match trend, not expect spend to decline",,Stacey,
8,2/19/2024,CA,G Ads,Brand,Brand Core BMM,"tCPA $35 to $40 to push spend as WK7 spend is lower. However, the increase is not guarantee since actual Google CPA was at $30.64 which is lower than the $35 tCPA.",,,,Katy,
8,2/19/2024,CA,G Ads,Brand,Brand Plus,Budget increase from $500 to $700.,,,,Katy,
8,2/19/2024,US,G Ads,AVT,AVT-All & DD_Device Consolidation,Budget $3K to $2.5K,,2/19 spend trends high,,Stacey,
8,2/19/2024,US,G Ads,Pmax,[PMax] B2B: General [DD & IM] - New Asset Groups Testing,Conversion goal changed from 'account default' to 'PMax Complete Pixel' as the DB reg is closer to complete rather than complete+pending.,,,,Katy,
8,2/20/2024,US,G Ads,Pmax,Pmax,Budget $600 to $400 as CPA higher than NB CPA,,,,Stacey,
8,2/20/2024,US,G Ads,PB,PB1,TCPA $105 to $100,,slowly lower down CPA cap to get rid of budget alert; tcpa can set as $90,,Stacey,
8,2/21/2024,JP,Yahoo,NB,General - [PHR] 2024,Enabled campaign with 7k JYP budget and Max Conversion bidding,,,,Katy,
8,2/21/2024,US,Bing,All,All,Data exclusion from 1/23-1/30 because of DB issue.,,,,Katy,
8,2/21/2024,CA,Bing,All,All,Data exclusion from 1/23-1/30 because of DB issue.,,,,Katy,
8,2/21/2024,CA,G Ads,NB Regs,NB Regs,"Enabled 416 phase 2 device parity KWs, labeled ""Missing Parity KWs 02.16.24""",,,,Katy,
8,2/21/2024,CA,G Ads,NB Regs,NB Regs,"CA phase 2 consolidation completed. Enabled 194 Desktop campaigns to all devices and paused 58 mobile campaigns. Bidding Strategy ""NB Regs_Device Consolidation_2"" tCPA is $85 and budget is $800. The orginal tCPA is already $85, so no change on that part.",,,,Katy,
8,2/21/2024,US,G Ads,AVT-S,AVT-S,TCPA $100 to $95; budget $12K to $25K,,slowly lower down CPA cap to get rid of budget alert,,Stacey,
8,2/21/2024,US,G Ads,BAU,BAU,Budget $11K to $15K,,get rid of budget alert,,Stacey,
8,2/22/2024,JP,G Ads,NB,General - [PHR],Added '大量注文' and '大量発注' in Bulk ad group to see if we can get traffic and regs.,,,,Katy,
8,2/22/2024,JP,Yahoo,NB,General - [PHR] 2024,Added '大量注文' and '大量発注' in Bulk ad group to see if we can get traffic and regs.,,,,Katy,
8,2/24/2024,JP,Yahoo,Brand,JP_Brand_Phrase_D,budget $700 to $1400 based on budget alert,,,,Stacey,
8,2/25/2024,US,Bing Ads,NB,NB Regs D tCPA,TCPA $100 to $110,,,,Stacey,
