WK,Date,MKT,Platform,Cluster,Category/Campaign,Change Note,Reference,Impact,Owner,Note
,6/14/2024,MX,Google,,Brand Broad,Increased budget from $25 to $80,,,Sabryna,Limited by Budget
,6/17/2024,MX,Google,,Generic,Increased budget from $700 to $800,,,Sabryna,"Daily Budget too low, need to increase spend"
,6/17/2024,MX,Google,,Medical,Increased budget from $50 to $250,,,Sabryna,"Daily Budget too low, need to increase spend"
,6/17/2024,MX,Google,,Food,Increased budget from $100 to $300,,,Sabryna,"Daily Budget too low, need to increase spend"
,6/17/2024,MX,Google,,Generic AMZ,Increased budget from $250 to $700,,,Sabryna,"Daily Budget too low, need to increase spend"
,6/17/2024,MX,Google,,Brand Broad,Decreased budget from $80 to $40,,,Sabryna,
,6/18/2024,MX,Google,,Generic,paused [proveedores],,,Sabryna,Spending a ton with little to no regs
,6/18/2024,MX,Google,,Office,Lowered budget from $700 to $400,,,Sabryna,Can scale back
,6/19/2024,MX,Google,,Generic,Lowered budget from $800 to $700,,,Sabryna,Need to get daily spend in line
,6/19/2024,MX,Google,,Brand Broad,Paused campaign,,,Sabryna,Only 2 regs in last 30 days with $430 CPA - Search Terms are straying a bit into more random queries
,6/19/2024,MX,Google,,Invoice AMZ Broad,Lowered budget from $400 to $100,,,Sabryna,More inefficient in first half of week with previous week increases
,6/19/2024,MX,Google,,Invoice AMZ,Lowered budget from $600 to $100,,,Sabryna,More inefficient in first half of week with previous week increases
,6/20/2024,MX,Google,,Generic,paused [proveedor],,,Sabryna,spend increasing in the same way as [proveedores]
,6/21/2024,MX,Google,,Pets,Paused campaign,,,Sabryna,Only 119 impressions 3/13-6/21. Will retest at later date
,6/24/2024,MX,Google,,Generic,Increased budget from $700 to $1500,,,Sabryna,Need to increase daily spend; optimizations should have made this more efficient
,6/24/2024,MX,Google,,Generic AMZ,Increased budget from $700 to $1200,,,Sabryna,Need to increase daily spend; optimizations should have made this more efficient
,6/24/2024,MX,Google,,Generic,added [proveedores] as negative to campaign,,,Sabryna,Keeps hiking up spend on other related keywords
,6/24/2024,MX,Google,,Brand Exact,Switched from MCS to Reg Start LP,,,Sabryna,based on A/B test results
,6/25/2024,MX,Google,,Generic,added [mayoreo],,,Sabryna,popular search term
,6/26/2024,MX,Google,,Generic AMZ,Decreased budget from $1200 to $1000,,,Sabryna,need to lower daily spend pacing
,6/26/2024,MX,Google,,Medical,Decreased budget from $250 to $150,,,Sabryna,"need to lower daily spend pacing, low regs this week"
,6/26/2024,MX,Google,,Food,Decreased budget from $300 to $150,,,Sabryna,"need to lower daily spend pacing, low regs this week"
,6/27/2024,MX,Google,,Janitorial,Decreased budget from $150 to $50,,,Sabryna,need to lower NB CPA
,6/27/2024,MX,Google,,Food,Decreased budget from $150 to $50,,,Sabryna,need to lower NB CPA
,6/27/2024,MX,Google,,Medical,Decreased budget from $150 to $75,,,Sabryna,need to lower NB CPA
,6/27/2024,MX,Google,,Vertical AMZ,Paused campaign,,,Sabryna,need to lower NB CPA and no regs since launch
,6/27/2024,MX,Google,,Product AMZ,Paused campaign,,,Sabryna,need to lower NB CPA and only 1 regs since launch with $3.6K spend
,6/27/2024,MX,Google,,Celebrations,Paused campaign,,,Sabryna,need to lower NB CPA and only 1 regs since launch with $3K spend
,6/27/2024,MX,Google,,Materials,Decreased budget from $50 to $25,,,Sabryna,need to lower NB CPA
,6/28/2024,MX,Google,,Shops,Decreased budget from $150 to $75,,,Sabryna,need to lower NB CPA
,6/28/2024,MX,Google,,Beauty,Decreased budget from $100 to $50,,,Sabryna,need to lower NB CPA
,6/28/2024,MX,Google,,Generic AMZ,Decreased budget from $1000 to $800,,,Sabryna,need to lower NB CPA
,6/28/2024,MX,Google,,Office,Increased budget from $400 to $600,,,Sabryna,"Need to increase spend, lower than $200 CPA for the week"
,7/15/2024,MX,Google,,Shops,Increased budget from $75 to $200,,,Sabryna,Need to increase spend
,7/18/2024,MX,Google,,Crafts,Increased budget from $50 to $200,,,Sabryna,"Testing if ""fan"" related terms pick up volume"
,7/22/2024,MX,Google,,Generic,"Lowered budget from $1,500 to $1,200",,,Sabryna,
,7/25/2024,MX,Google,,Crafts,Lowered budget from $200 to $100,,,Sabryna,
,7/25/2024,MX,Google,,Shops,Lowered budget from $200 to $100,,,Sabryna,
,7/29/2024,MX,Google,,Office,Increased budget from $800 to $1200,,,Sabryna,Need to increase daily speed
,7/29/2024,MX,Google,,Generic AMZ,Increased budget from $1000 to $1400,,,Sabryna,Need to increase daily speed
,7/31/2024,MX,Google,,Brand,Increased bd limit ifrom $60 to $90,,,Sabryna,97% of impressions are limited by your max. bid limit
,8/1/2024,MX,Google,,Food and Hospitality,Swapped LPs from https://business.amazon.com.mx/es/find-solutions/simplify-buying/selection to https://business.amazon.com.mx/es/find-solutions/simplify-buying/selection/breakroom1,,,Sabryna,Best practice
,8/1/2024,MX,Google,,Food and Hospitality,Increased budget from $50 to $150,,,Sabryna,Testing
,8/1/2024,MX,Google,,Generic,Lowered budget from $1600 to $700,,,Sabryna,Lowering daily spend for new month pacing
,8/1/2024,MX,Google,,Generic AMZ,Lowered budget from $1400 to $800,,,Sabryna,Lowering daily spend for new month pacing
,8/1/2024,MX,Google,,Office,Lowered budget from $1200 to $450,,,Sabryna,Lowering daily spend for new month pacing
,8/8/2024,MX,Google,,Generic,"Added phrase match ""mayorista"" and ""al por mayor"", pausing mayorista broad",,,Sabryna,Testing if pausing this KW will allow more regs more efficiently with more budget allowed for other KWs as mayorista takes a large allocation currently
,8/8/2024,MX,Google,,Generic,Paused [proveedores de productos] - $828 CPA from 3/13-8/3,,,Sabryna,Need to improve NB efficiency
,8/8/2024,MX,Google,,Apparel,"Added KWs in exact and phrase:  
[ropa mayoreo]
[ropa por mayoreo]
[ropa por mayoreo para vender]
[comprar ropa para vender]
[ropa para vender por mayoreo]
[ropa al mayoreo]
[playeras mayoreo]",,,Sabryna,
,8/8/2024,MX,Google,,Office,"Pausing escritorios oficina and sillas oficina ergonómicas broad match

Added KWs in exact and phrase:
escritorios para oficina
escritorio para computadora
escritorio ejecutivo
escritorio para oficina
muebles para oficina
escritorios de madera
[silla de oficina]
[sillas para oficina]
[sillas para oficina economicas]
[sillas ergonomicas para oficina]
[silla ergonomica oficina]",,,Sabryna,Seeing if adding the search terms and pausing broad match keyword will improve efficiency
,8/12/2024,MX,Google,,Competitors,Paused,,,Sabryna,High CPA
,8/14/2024,MX,Google,,Food,Increased budget from $150 to $220,,,Sabryna,Good performance with new LP
,8/14/2024,MX,Google,,Office,Decreased budget from $450 to $150,,,Sabryna,Optimizing for NB CPA
,8/26/2024,MX,Google,,Hospitality,Paused campaign,,,Sabryna,Performance did not improve with new LP
,8/26/2024,MX,Google,,Office,Paused all Broad keywords,,,Sabryna,Testing if budget can perform more efficiently and effectively without broad taking majority spend
,8/26/2024,MX,Google,,Apparel,Updated LP for Apparel with https://business.amazon.com.mx/es/find-solutions/simplify-buying/selection/ropa-de-trabajo,,,Sabryna,Best practice LP
36,9/3/2024,MX,Google,NB,MX - Generic AMZ,Budget $600 to $570,,,Stacey,
36,9/3/2024,MX,Google,NB,MX - Food,Budget $400 to $350,,,Stacey,
36,9/3/2024,MX,Google,NB,MX - Apparel,Budget $300 to $360,,,Stacey,
36,9/3/2024,MX,Google,NB,MX - Office,Budget $250 to $170,,,Stacey,
36,9/3/2024,MX,Google,NB,MX - Shops,Budget $250 to $150,,,Stacey,
36,9/3/2024,MX,Google,NB,MX - Crafts,Budget $100 to $50,,,Stacey,
37,9/10/2024,CA,ADB,PB,CA - PB AVT - [G],Budget $1.1K to $1.2K,,,Stacey,
37,9/10/2024,CA,ADB,Brand,CA - Brand Plus - [B],Budget $80 to $70,,,Stacey,
37,9/10/2024,MX,Google,NB,MX - Apparel,Budget $360 to $320,40,pull back $300 to pacing Q3 budget,Stacey,
37,9/10/2024,MX,Google,NB,MX - Automotive,pause as CPA YTD over $700,25,,Stacey,
37,9/10/2024,MX,Google,NB,MX - Janitorial,budget $200 to $150,50,,Stacey,
37,9/10/2024,MX,Google,NB,MX - Medical,budget $75 to $60,15,,Stacey,
37,9/10/2024,MX,Google,NB,MX - Shops,budget $150 to $130,20,,Stacey,
37,9/10/2024,MX,Google,NB,MX - Food,Budget $350 to $300,50,,Stacey,
37,9/10/2024,MX,Google,NB,MX - Office,budget $170 to $130,20,,Stacey,
37,9/10/2024,MX,Google,NB,MX - Generic AMZ,Budget $570 to $500,70,,Stacey,
38,9/19/2024,MX,Google,NB,MX - Generic,"Budget $1.2k to $1.1k, daily needs to be at $3.5k for Sep budget $112,744",,,Katy,
38,9/19/2024,MX,Google,NB,MX - Food,"Budget $300 to $200, daily needs to be at $3.5k for Sep budget $112,744",,,Katy,
38,9/19/2024,MX,Google,NB,MX - Janitorial,"Budget $150 to $120, daily needs to be at $3.5k for Sep budget $112,744",,,Katy,
39,9/23/2024,MX,Google,NB,MX - Generic,"Budget $1.1k to $1.2k, daily needs to be at $3958",,,Katy,
39,9/24/2024,MX,Google,NB,MX - Apparel,"Budget $320 to $420, aiming to spend $4k per day",,,Katy,
39,9/24/2024,MX,Google,NB,MX - Apparel,"Budget $50 to $75, aiming to spend $4k per day",,,Katy,
,9/24/2024,MX,Google,NB,MX - Invoice AMZ Broad,"Budget $150 to $180, aiming to spend $4k per day",,,Katy,
40,10/1/2024,MX,Google,NB,MX - Apparel,Budget increased from $420 to $450,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Beauty,Budget increased from $75 to $80,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Electronics,Budget increased from $50 to $100,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Generic,Budget increased from $1.2k to $1.5k,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Invoice AMZ,Budget increased from $250 to $400,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget increased from $180 to $300,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Janitorial,Budget increased from $120 to $200,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Materials,Budget increased from $25 to $50,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Shops,Budget increased from $130 to $200,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Food,Budget increased from $200 to $250,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Industrial,Budget increased from $25 to $50,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Generic,Budget increased from $1.5k to $1650,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Food,Budget increased from $250 to $350,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Invoice AMZ,Budget increased from $400 to $550,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget increased from $300 to $350,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Janitorial,Budget increased from $200 to $220,,,Katy,
40,10/1/2024,MX,Google,NB,MX - Medical,Budget increased from $60 to $100,,,Katy,
40,10/7/2024,MX,Google,NB,MX - Invoice AMZ,Budget cut from $550 to $250,,,Stacey,daily trend $7K > $5.5K daily spend plan
40,10/7/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget cut from $350 to $250,,,Stacey,
40,10/7/2024,MX,Google,NB,MX - Food,Budget cut from $350 to $200,,,Stacey,
41,10/10/2024,MX,Google,NB,MX - Generic,Budget increased from $1650 to $1750 as daily spend is at $5k and need to at $5.5k,,,Katy,
41,10/10/2024,MX,Google,NB,MX - Electronics,Budget increased from $100 to $150 as daily spend is at $5k and need to at $5.5k,,,Katy,
41,10/11/2024,MX,Google,NB,MX - Invoice AMZ,Budget increased from $250 to $300,,,Katy,
41,10/11/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget increased from $250 to $300,,,Katy,
42,10/14/2024,MX,Google,NB,MX - PPE,Campaign enabled,,,Katy,
42,10/14/2024,MX,Google,NB,All,"New ad variation added, labeled '10.10 New variation', 2219 ads",,,Katy,
42,10/15/2024,MX,Google,NB,MX - Generic,Budget $1750 cut to $1450 as CPA too high,,,Katy,
42,10/15/2024,MX,Google,NB,MX - Invoice AMZ,Budget $300 to $350,,,Katy,
42,10/15/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget $300 to $350,,,Katy,
42,10/15/2024,MX,Google,NB,MX - Food,Budget $200 to $250,,,Katy,
42,10/15/2024,MX,Google,NB,MX - Apparel,Budget $450 to $550,,,Katy,
42,10/15/2024,MX,Google,NB,MX - Beauty,Budget $80 to $100,,,Katy,
42,10/15/2024,MX,Google,NB,MX - Industrial,Budget $50 to $100,,,Katy,
42,10/15/2024,MX,Google,NB,MX - Materials,Budget $50 to $100,,,Katy,
42,10/15/2024,MX,Google,NB,MX - PPE,Budget $100 to $150,,,Katy,
42,10/16/2024,MX,Google,NB,MX - Invoice AMZ,Budget $350 to $380,,,Katy,
42,10/16/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget $350 to $380,,,Katy,
42,10/17/2024,MX,Google,NB,MX - Invoice AMZ,Budget $380 to $410,,,Katy,
42,10/17/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget $380 to $410,,,Katy,
42,10/18/2024,MX,Google,NB,MX - Invoice AMZ,Budget $410 to $440,,,Katy,
42,10/18/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget $410 to $440,,,Katy,
43,10/21/2024,MX,Google,NB,MX - Apparel,Budget $550 to $600,,,Katy,
43,10/21/2024,MX,Google,NB,MX - Generic,Budget $1450 to $1600,,,Katy,
43,10/21/2024,MX,Google,NB,MX - Generic AMZ,Budget $500 to $650,,,Katy,
43,10/21/2024,MX,Google,NB,MX - Invoice AMZ,Budget $440 to $500,,,Katy,
43,10/21/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget $440 to $470,,,Katy,
43,10/21/2024,MX,Google,NB,MX - Office,Budget $150 to $250,,,Katy,
43,10/24/2024,MX,Google,NB,MX - Generic,Budget $1600 to $1650,,,Katy,
43,10/24/2024,MX,Google,NB,MX - Invoice AMZ,Budget $500 to $600,,,Katy,
43,10/24/2024,MX,Google,NB,MX - Invoice AMZ Broad,Budget $470 to $520,,,Katy,
43,10/24/2024,MX,Google,NB,"MX - Brand Exact, MX - Generic, MX - Generic AMZ, MX - Invoice AMZ, MX - Invoice AMZ Broad",Added 369 new RSA to Brand Exact+ Inovice+Generic campaigns labeled '10.24.24 New Variation',,,Katy,
44,10/28/2024,MX,Google,NB,MX - Apparel,Budget increase from $600 to $700,,,Katy,
44,10/28/2024,MX,Google,NB,MX - Beauty,Budget - from $100 to $70,,,Katy,
44,10/28/2024,MX,Google,NB,MX - Electronics,Budget - from $150 to $75,,,Katy,
44,10/28/2024,MX,Google,NB,MX - Generic,Budget - from $1650 to $1600,,,Katy,
