=== BRAND SHEET ===
1: Campaign	(Multiple Items)																											
2: Account	(Multiple Items)																											
3: 	*October launch																											
4: 	Column Labels																											
5: 	2019	2020				2021				2022				2023				2024				2025				2026		
101: 		avg. CPC/quarter				avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1
102: 	CA '20	0.77			CA '21	0.9	0.17	0.17	CA '22	1.11	0.23	0.44	CA '23	1.23	0.11	0.59	CA '24	1.28	0.04	0.65	CA '25	1.54	0.2	0.99	CA '26	1.88	0.23	1.45
103: 	MX '24	0.66			MX '25	0.55	-0.16	-0.16	MX '26	0.77	0.4	0.17	MX '27	#DIV/0!	#DIV/0!	#DIV/0!	MX '28	#DIV/0!	#DIV/0!	#DIV/0!	MX '29	#DIV/0!	#DIV/0!	#DIV/0!	MX '30	#DIV/0!	#DIV/0!	#DIV/0!
104: Brand Quarterly CPC	AU '25	3.5			AU '26	4.28	0.22	0.22	AU '27	#DIV/0!	#DIV/0!	#DIV/0!	AU '28	#DIV/0!	#DIV/0!	#DIV/0!	AU '29	#DIV/0!	#DIV/0!	#DIV/0!	AU '30	#DIV/0!	#DIV/0!	#DIV/0!	AU '31	#DIV/0!	#DIV/0!	#DIV/0!
105: Market	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
106: CA	0.64	0.97	0.67	0.8	0.74	0.89	0.93	1.05	0.98	1.15	1.23	1.07	1.26	1.22	1.17	1.25	1.27	1.07	1.43	1.34	1.45	1.52	1.71	1.47	1.88			
107: QoQ		0.53	-0.31	0.2	-0.07	0.19	0.05	0.13	-0.07	0.18	0.07	-0.13	0.18	-0.03	-0.04	0.07	0.01	-0.16	0.34	-0.06	0.08	0.04	0.13	-0.14	0.29			
108: YoY					0.16	-0.09	0.39	0.31	0.31	0.3	0.32	0.02	0.29	0.06	-0.05	0.17	0.01	-0.13	0.22	0.07	0.14	0.42	0.2	0.1	0.3			
109: MX	1.04	1.16	0.49	0.33	0.3	0.73	0.63	0.54	0.77																			
110: QoQ		0.11	-0.58	-0.32	-0.09	1.43	-0.14	-0.14	0.42																			
111: YoY					-0.71	-0.36	0.29	0.63	1.55																			
112: AU		2.66	4.58	3.27	4.28																							
113: QoQ			0.72	-0.29	0.31																							
114: YoY																												

=== NB SHEET ===
1: Campaign	(Multiple Items)																											
2: Account	(Multiple Items)																											
3: 	*October launch																											
4: 	Column Labels																											
5: 	2019	2020				2021				2022				2023				2024				2025				2026		
6: 	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1		
7: Values																												
8: Sum of Cost	268108.48	282549.81	186606.1	440799.6	698516.9	761917.01	1120335.38	1028305.62	1245775.07	1260605.31	1728897.75	1428708.44	1556127.59	1230669.38	751130.44	997772.02	509776.56	480746.93	581037.29	535196.95	548046.78	472417.65	362445.49	516659.44	513944.25	85921.79		
9: Sum of Clicks	152425	184601	136933	456104	440744	362972	497180	439683	549051	667208	596149	547949	957155	562750	338496	375290	182093	219591	279570	295296	231133	140956	108899	205112	218832	36757		
10: Sum of EFID RefMarker Reg(CT+VT)	0	0	0	0	0	0	0	1293	5242	5086	5959	5740	6568	6616	5738	6778	5346	6812	5913	4200	3569	2288	2505	4452	3883	594		
11: Sum of CPA (EFID-Ref)	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	795.29	237.65	247.86	290.13	248.9	236.93	186.01	130.9	147.21	95.36	70.57	98.26	127.43	153.56	206.48	144.69	116.05	132.36	144.65		
