Market	Segment	Month	Clicks	Cost	CPC	Impressions	CTR	Regs	CPA
CA	NB	2021-07	167650	390868.23	2.33	3476573	0.0482	0	0.00
CA	NB	2021-08	120414	313705.75	2.61	2539440	0.0474	155	2023.91
CA	NB	2021-09	135618	285295.95	2.10	3283290	0.0413	1105	258.19
CA	NB	2021-10	150984	307695.56	2.04	4177206	0.0361	1359	226.41
CA	NB	2021-11	190879	414504.38	2.17	6184802	0.0309	1596	259.71
CA	NB	2021-12	130680	281745.27	2.16	4255357	0.0307	917	307.25
CA	NB	2022-01	189989	370813.26	1.95	6435956	0.0295	1274	291.06
CA	NB	2022-02	208977	342065.18	1.64	11202471	0.0187	1179	290.13
CA	NB	2022-03	183602	338614.75	1.84	8383110	0.0219	1355	249.90
CA	NB	2022-04	156022	376534.62	2.41	5727462	0.0272	1403	268.38
CA	NB	2022-05	187007	525096.20	2.81	6985255	0.0268	1606	326.96
CA	NB	2022-06	170422	462414.52	2.71	6735419	0.0253	1704	271.37
CA	NB	2022-07	159615	409976.59	2.57	6544886	0.0244	1633	251.06
CA	NB	2022-08	161329	387635.46	2.40	6870784	0.0235	1582	245.03
CA	NB	2022-09	155357	332141.36	2.14	7850296	0.0198	1361	244.04
CA	NB	2022-10	194708	471422.39	2.42	6531243	0.0298	1867	252.50
CA	NB	2022-11	177212	382975.29	2.16	3321085	0.0534	1874	204.36
CA	NB	2022-12	158402	376213.82	2.38	3097612	0.0511	1500	250.81
CA	NB	2023-01	195165	442437.96	2.27	3624362	0.0538	2216	199.66
CA	NB	2023-02	164589	349055.98	2.12	3035404	0.0542	1733	201.42
CA	NB	2023-03	84215	149172.26	1.77	1410075	0.0597	1266	117.83
CA	NB	2023-04	51648	86301.88	1.67	896801	0.0576	1036	83.30
CA	NB	2023-05	120309	254459.07	2.12	2169060	0.0555	1844	137.99
CA	NB	2023-06	127200	289712.98	2.28	2317203	0.0549	1806	160.42
CA	NB	2023-07	154493	367227.08	2.38	2829799	0.0546	2162	169.86
CA	NB	2023-08	108706	263213.62	2.42	2152765	0.0505	1750	150.41
CA	NB	2023-09	72535	202896.52	2.80	1329179	0.0546	1658	122.37
CA	NB	2023-10	63044	183648.75	2.91	1098153	0.0574	1666	110.23
CA	NB	2023-11	49947	120503.61	2.41	730968	0.0683	1423	84.68
CA	NB	2023-12	48802	116662.00	2.39	718393	0.0679	1330	87.72
CA	NB	2024-01	61013	122024.34	2.00	837395	0.0729	1606	75.98
CA	NB	2024-02	59290	118539.17	2.00	766135	0.0774	1681	70.52
CA	NB	2024-03	68497	144136.78	2.10	771962	0.0887	1975	72.98
CA	NB	2024-04	59983	128960.37	2.15	694043	0.0864	1669	77.27
CA	NB	2024-05	64880	108870.05	1.68	737415	0.0880	808	134.74
CA	NB	2024-06	55258	80829.32	1.46	619218	0.0892	640	126.30
CA	NB	2024-07	63480	96381.01	1.52	806046	0.0788	654	147.37
CA	NB	2024-08	51364	77490.38	1.51	616571	0.0833	553	140.13
CA	NB	2024-09	50959	74812.89	1.47	594730	0.0857	584	128.10
CA	NB	2024-10	55540	92907.48	1.67	670311	0.0829	752	123.55
CA	NB	2024-11	46107	88921.00	1.93	593024	0.0777	606	146.73
CA	NB	2024-12	36793	90718.67	2.47	531574	0.0692	420	216.00
CA	NB	2025-01	35442	98366.53	2.78	527410	0.0672	492	199.93
CA	NB	2025-02	33778	96995.34	2.87	459212	0.0736	434	223.49
CA	NB	2025-03	23306	73536.31	3.16	353012	0.0660	329	223.51
CA	NB	2025-04	21040	76503.55	3.64	308520	0.0682	306	250.01
CA	NB	2025-05	21382	52309.41	2.45	313530	0.0682	349	149.88
CA	NB	2025-06	20312	46724.39	2.30	299420	0.0678	419	111.51
CA	NB	2025-07	35981	95661.00	2.66	430335	0.0836	732	130.68
CA	NB	2025-08	38239	80580.57	2.11	411609	0.0929	622	129.55
CA	NB	2025-09	38371	72220.60	1.88	428278	0.0896	614	117.62
