Search terms report
"March 15, 2026 - March 28, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Source
velas mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,4,25.00%,USD,1.25,1.25,Keyword
bases de cristal para centros de mesa al por mayor,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,1,100.00%,USD,1.06,1.06,Keyword
termos de plastico mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,7,14.29%,USD,1.38,1.38,Keyword
compras por mayoreo en mexico,Phrase match (close variant),None,MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",1,1,100.00%,USD,1.58,1.58,Keyword
fundas para celular mayoreo cdmx,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,2,50.00%,USD,1.37,1.37,Keyword
mesas y sillas para eventos por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,4,50.00%,USD,2.30,4.59,Keyword
mayoristas guadalajara,Phrase match (close variant),None,MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor comercial""",1,2,50.00%,USD,3.43,3.43,Keyword
donde venden cubrebocas por mayoreo en el centro,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,2,50.00%,USD,1.29,1.29,Keyword
venta de productos de limpieza por mayoreo en monterrey,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",2,4,50.00%,USD,1.82,3.63,Keyword
artículos para negocio,Phrase match (close variant),None,MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",1,2,50.00%,USD,1.64,1.64,Keyword
venta de cosas por mayoreo,Exact match (close variant),None,MX - Generic,Wholesales_Suppliers_Exact,[proveedor para mayoristas],1,1,100.00%,USD,1.03,1.03,Keyword
como facturar en amazon,Exact match,Added,MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",91,531,17.14%,USD,3.54,321.92,Keyword
como facturar algo de amazon,Exact match (close variant),None,MX - Invoice AMZ,Invoice_Phrase,"""pedir factura en amazon""",1,4,25.00%,USD,4.61,4.61,Keyword
facturar pedido de amazon,Exact match (close variant),None,MX - Invoice AMZ,Invoice_Phrase,"""facturar amazon""",1,4,25.00%,USD,7.73,7.73,Keyword
venta de tenis por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",2,5,40.00%,USD,0.98,1.95,Keyword
proveedor de productos electronicos,Exact match (close variant),None,MX - Shops,Shops_Wholesales_Electronics_Exact,[productos electrónicos al por mayor],1,1,100.00%,USD,0.99,0.99,Keyword
exhibidores para tienda,Phrase match (close variant),None,MX - Shops,Shops_Generic_Phrase,"""equipos para tiendas""",1,3,33.33%,USD,0.77,0.77,Keyword
pashminas mayoreo cdmx,Phrase match (close variant),None,MX - Shops,Shops_Wholesales_Accessories_Phrase,"""venta mayorista de accesorios de moda""",1,5,20.00%,USD,3.47,3.47,Keyword
distribuidores mayoristas de electrónica en méxico,Phrase match (close variant),None,MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",1,7,14.29%,USD,2.02,2.02,Keyword
diademas mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Wholesales_Accessories_Phrase,"""accesorios para el cabello al por mayor""",2,1,200.00%,USD,4.02,8.04,Keyword
tiara mayorista,Phrase match (close variant),None,MX - Shops,Shops_Suppliers_Accessories_Phrase,"""proveedores de accesorios de moda""",1,25,4.00%,USD,7.94,7.94,Keyword
tienda de muebles para oficina,Exact match (close variant),None,MX - Office,Furniture_Exact,[mobiliario para oficinas],2,2,100.00%,USD,5.30,10.59,Keyword
mercado libre sillas de oficina,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""equipamiento escritorio""",1,1,100.00%,USD,2.10,2.10,Keyword
carpetas para documentos office depot,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,4,25.00%,USD,1.04,1.04,Keyword
folders tamaño carta,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",2,26,7.69%,USD,1.21,2.41,Keyword
mayordomo productos,Phrase match (close variant),None,MX - Janitorial,Supply_Phrase,"""suministros de limpieza""",1,2,50.00%,USD,1.37,1.37,Keyword
trapeador industrial,Phrase match (close variant),None,MX - Janitorial,Floor Care_Phrase,"""suministros de limpieza industrial""",1,14,7.14%,USD,0.90,0.90,Keyword
