Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
usb mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",17,95,36.1
abarrotes baratos para negocio,Phrase match (close variant),MX - Generic,Enterprises_Purchasing_Phrase,"""compras para empresas""",16,62,57.44
tecnoback mayoristas,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",16,108,16.87
italia deluxe mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",16,117,20.4
muebles para cafeteria,Exact match (close variant),MX - Food,Furniture_Restaurant_Exact,[muebles para cafetería],16,110,19.64
amazon business tiene costo,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",16,168,51.8
pch mayoreo,Phrase match (close variant),MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",16,675,86.82
proveedores de maquillaje,Exact match (close variant),MX - Beauty,Makeup_Distributors_Exact,[distribuidores de maquillaje],16,79,32
como puedo facturar en amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""como puedo facturar en amazon""",16,75,52.58
ropa por mayoreo,Exact match,MX - Apparel,Clothing_Exact,[ropa por mayoreo],16,78,11.53
amazon negocios mexico,Exact match,MX - Brand Exact,Pure_Exact,[amazon negocios mexico],16,40,5.19
proveedores de papelería por mayoreo,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],16,62,22.32
mayoristas,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],16,237,28.69
amazon business login,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa de amazon""",15,43,25.44
amazon business 30 off,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",15,37,6.04
sillas oficina,Exact match,MX - Office,Furniture_Exact,[sillas oficina],15,121,35.18
proveedores de maquillaje,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],15,79,22.9
