Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
vitrina exhibidora,Phrase match (close variant),MX - Shops,Shops_Generic_Phrase,"""equipos para tiendas""",2,23,2.46
papel bond tamaño carta,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,45,3.32
accesorios para iphone mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",2,5,2.84
organizador de escritorio office depot,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,12,2.31
productos para faciales profesionales,Phrase match (close variant),MX - Beauty,Products_Cosmetics_Phrase,"""productos centro belleza""",2,3,1.75
perfumes árabes mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Wholesale_Phrase,"""mayorista de perfume""",2,4,3.85
proveedores de perfumes,Exact match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,10,4.42
crema de manos mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,7,2.92
como obtener una factura de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",2,8,15.96
dulces a granel por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,17,2.39
vasos de acero inoxidable mayoreo,Phrase match (close variant),MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",2,14,3.5
donde comprar dulces importados al por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,10,2.74
amazon cuenta empresarial,Exact match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",2,3,0
productos prosa por mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,26,3.06
silla de sala de juntas,Exact match (close variant),MX - Office,Office Furniture_Exact,[sillas para salas de reuniones],2,7,4.73
bisutería mayoreo,Phrase match (close variant),MX - Shops,Shops_Suppliers_Accessories_Phrase,"""proveedores de accesorios de moda""",2,8,2.57
cosas de papeleria,Exact match (close variant),MX - Office,Products_Exact,[material papelería],2,25,3.02
mesas para manicura baratas,Phrase match (close variant),MX - Beauty,Furniture_Cosmetics_Phrase,"""muebles de salón belleza""",2,5,2.29
donde comprar skincare coreano mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,20,4.16
llaveros mayoreo cdmx,Phrase match (close variant),MX - Automotive,Exterior Accessories_Wholesale_Phrase,"""llaveros al por mayor""",2,9,2.61
tazas para cafetería,Phrase match (close variant),MX - Food,Kitchen Tools_Suppliers_Phrase,"""proveedores tazas""",2,6,2.78
vitrina caliente,Phrase match (close variant),MX - Food,Generic_Phrase,"""suministros para hostelería""",2,13,5.9
vasos de vidrio para velas mayoreo,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores de cristalería""",2,11,4
vendor central,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon for business""",2,19,10.55
amazon business atencion al cliente,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon para empresas""",2,8,3.43
tijeras knipex electricista,Phrase match (close variant),MX - Crafts,Hand Tools_Phrase,"""herramientas manuales profesionales""",2,4,3.74
proveedores de uniformes de fútbol por mayoreo,Phrase match (close variant),MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",2,18,3.02
playeras algodon peinado mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,1,2.4
carpetas de argollas,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,22,2.42
facturación de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Exact,[factura amazon],2,3,10.89
schwarzkopf distribuidor méxico,Phrase match (close variant),MX - Beauty,Hair Styling_Distributors_Phrase,"""distribuidores de productos para el cabello""",2,3,3.98
maquillaje italia deluxe mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,6,3.02
mayoreo maquillaje alta gama,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,21,4.01
mayoreo papeleria tony,Phrase match (close variant),MX - Office,Office Furniture_Wholesale_Phrase,"""papeleras al por mayor""",2,5,3.76
amazon mexico facturacion,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""amazon mexico factura""",2,4,9.06
productos de belleza al por mayor,Exact match,MX - Beauty,Makeup_Wholesale_Exact,[productos de belleza al por mayor],2,10,1.3
amazon business canada,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",2,2,6.56
migsa catalogo,Phrase match (close variant),MX - Food,Shop_Phrase,"""tienda de hostelería""",2,1,4.74
vajilla mayoreo,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",2,7,2.54
botanas deshidratadas mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,4,3.96
agendas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,7,4.85
b2b mexico,Phrase match (close variant),MX - Generic,B2B_Enterprise_Phrase,"""ventas b2b""",2,35,12.39
extractor de baleros,Phrase match (close variant),MX - Automotive,Generic_Phrase,"""equipo para talleres""",2,22,4.15
vajillas para restaurantes,Exact match (close variant),MX - Food,Cultlery_Phrase,"""vajilla profesional""",2,21,10.08
legos mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesalers_Toys Shop_Phrase,"""mayoristas de juguetes""",2,2,1.74
escritorios oficina,Exact match (close variant),MX - Office,Office Furniture_Exact,[escritorios para oficina],2,16,4.3
hojas opalina,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,13,2.63
amazon business app,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon para empresas""",2,10,7.27
amazon business login,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon for business""",2,4,0.87
guantes de nitrilo mayoreo,Phrase match (close variant),MX - Medical,Gloves_Suppliers_Phrase,"""proveedor de guantes de nitrilo""",2,10,3.55
tenis de marca por mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Clothing_Phrase,"""zapatos en venta al por mayor""",2,1,5.4
amazon business center,Exact match (close variant),MX - Brand Exact,Pure_Exact,[amazon business],2,4,2.86
triturador papel,Exact match (close variant),MX - Office,Office Organization_Distributors_Exact,[trituradora de documentos],2,2,4.46
clip mariposa,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,11,2.33
basicos de oficina,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,5,3.11
venta de escobas por mayoreo,Phrase match (close variant),MX - Janitorial,Tools_Supplier_Phrase,"""proveedor de escobas""",2,5,2.64
gorras de mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,6,2.38
donde comprar paca de ropa americana,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",2,4,1.53
cosmeticos al por mayor en miami,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,7,5.4
celulares mayoreo monterrey,Phrase match (close variant),MX - Electronics,Cell Phones_Distributor_Phrase,"""distribuidores de smartphone""",2,9,2.71
gorras originales por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,4,2.73
amazon duo,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",2,7,3.2
sillas para restaurante usadas,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""mobiliario de restaurante""",2,2,2.88
vinos y licores por mayoreo,Phrase match (close variant),MX - Food,Drinks_Suppliers_Phrase,"""proveedores de licor""",2,4,4.92
donde comprar pacas de ropa americana,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",2,5,1.91
pacas deportivas,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",2,3,1.86
uline etiquetas,Phrase match (close variant),MX - Office,Office Supplies_Distributors_Phrase,"""distribuidores de etiquetas""",2,4,6
papelerias mayoreo,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],2,38,7.76
papira com mx,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,2,1.62
papeleria distribuidora,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],2,6,3.81
libretas economicas por mayoreo,Phrase match (close variant),MX - Office,Educational Supplies_Wholesalers_Phrase,"""mayorista de material escolar""",2,6,8.28
mueble para barberia,Phrase match (close variant),MX - Beauty,Furniture_Hair_Phrase,"""muebles de peluquerías""",2,6,2.78
proveedores de skincare coreano en mexico,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,12,3.19
playeras poliester mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,3,1.78
perfumes de mayoreo en mexico,Phrase match (close variant),MX - Beauty,Fragrance_Wholesale_Phrase,"""mayorista de perfume""",2,3,3.06
tony moly mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,2,2.99
maquillaje original mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,20,2.44
chanclas mayoreo,Phrase match (close variant),MX - Apparel,Shoes_Distributor_Phrase,"""distribuidores de chanclas""",2,7,6.35
pantalones de mezclilla mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,3,1.44
distribuidora küül cerca de mi,Phrase match (close variant),MX - Beauty,Hair Styling_Distributors_Phrase,"""distribuidores de productos para el cabello""",2,6,6.68
bausse mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,5,2.78
mayoristas de ropa,Exact match (close variant),MX - Apparel,Clothing_Exact,[ropa para vender por mayoreo],2,18,1.22
gorras dandy hats mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,4,1.44
mayoreo de ropa deportiva,Exact match (close variant),MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",2,7,2.36
playeras lisas para hombre mayoreo,Phrase match (close variant),MX - Apparel,Tops Men_Wholesales_Phrase,"""camisetas para hombre al por mayor""",2,4,3.03
camisas de trabajo para hombre,Phrase match (close variant),MX - Industrial,Clothing_Phrase,"""ropa industrial""",2,12,2.46
silla para barberia,Exact match (close variant),MX - Beauty,Furniture_Hair_Exact,[sillas de barbero],2,30,4.02
maquillaje original por mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,10,5.71
distribuidora de perfumes,Exact match (close variant),MX - Beauty,Fragrance_Wholesale_Phrase,"""mayorista de perfume""",2,8,4.15
venta de labiales mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,1,2.94
perfumes mayoreo originales,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,12,3.03
venta de playeras por mayoreo en monterrey,Phrase match (close variant),MX - Apparel,Tops_Distributor_Phrase,"""distribuidores de camisetas""",2,8,3.91
sudaderas oversize mayoreo,Phrase match (close variant),MX - Apparel,Tops_Distributor_Phrase,"""distribuidores de sudaderas""",2,4,4.77
proveedores ropa,Exact match (close variant),MX - Apparel,Clothing_Exact,[comprar ropa al por mayor],2,7,3.87
proveedores de maquillaje al por mayor,Exact match (close variant),MX - Beauty,Makeup_Supplier_Exact,[proveedor de maquillaje],2,6,1.34
proveedores de skincare,Exact match (close variant),MX - Beauty,Skin Care_Wholesale_Phrase,"""mayorista de productos para el cuidado de la piel""",2,6,7.45
donde comprar perfumes por mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,3,0.93
shampoo por mayoreo,Phrase match (close variant),MX - Beauty,Hair Styling_Wholesale_Phrase,"""mayorista de productos para el cabello""",2,4,3.3
proveedor tenis originales,Phrase match (close variant),MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",2,2,2.36
platos para restaurante al por mayor,Phrase match,MX - Food,Plates_Wholesale_Phrase,"""platos al por mayor""",2,6,2.5
máquina para hacer hielo industrial,Exact match (close variant),MX - Food,Restaurant_Phrase,"""máquinas de hielo profesionales""",2,17,7.11
equipo de cocina usado,Phrase match (close variant),MX - Food,Generic_Phrase,"""suministros para hostelería""",2,3,5.62
proveedores de belleza,Exact match (close variant),MX - Beauty,Distributors_Cosmetics_Exact,[distribuidor de cosmética],2,12,3.21
mesa para uñas,Phrase match (close variant),MX - Beauty,Furniture_Cosmetics_Phrase,"""muebles de salón belleza""",2,12,2.7
pink up cosmetics mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,8,2.54
proveedores de ropa puebla,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,6,1.86
compra de ropa por mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",2,5,2.18
cucharas de acero inoxidable industriales,Phrase match (close variant),MX - Food,Products_Phrase,"""productos para hostelería""",2,5,4.48
mayoreo accesorios para celulares,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",2,4,2.38
librero para oficina,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,18,1.82
como comprar en amazon al por mayor,Exact match (close variant),MX - Generic AMZ,Generic_Wholesales_Purchasing_Exact,[comprar al por mayor amazon],2,3,1.9
distribuidor de papeleria al por mayor,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],2,6,3.88
papeleria mayorista,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],2,24,8.31
sudaderas mayoreo cdmx,Phrase match (close variant),MX - Apparel,Tops_Wholesales_Phrase,"""comprar sudaderas al por mayor""",2,9,4.71
como pedir facturas en amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",2,4,12.8
proveedores elf,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,12,0.62
ropa deportiva mayoreo puebla,Phrase match (close variant),MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",2,14,2.94
proveedores de skin care,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,7,2.97
perfumes originales para revender,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,9,3.01
desechables para restaurantes,Phrase match (close variant),MX - Food,Products_Phrase,"""productos para hostelería""",2,5,4.14
tazas de cerámica mayoreo,Phrase match (close variant),MX - Food,Kitchen Tools_Suppliers_Phrase,"""proveedores tazas""",2,17,2.12
mochilas en mayoreo,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,2,3.41
donde comprar maruchan de mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,16,2.14
baterias de cocina mayoreo,Phrase match (close variant),MX - Food,Food_Suppliers_Phrase,"""proveedores utensilios cocina""",2,1,2.84
platos mayoreo,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",2,6,2.19
doritos por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,10,2.82
venta de bolis por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,5,3.34
bomba para despachar diesel,Phrase match (close variant),MX - Automotive,Performance Accessories_Phrase,"""bombas de combustible""",2,1,2.58
barra mostrador para cafetería,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""muebles para cafetería""",2,2,2.12
utensilios para restaurantes,Phrase match (close variant),MX - Food,Products_Phrase,"""productos para hostelería""",2,10,2.53
refrigerador restaurante,Phrase match (close variant),MX - Food,Products_Phrase,"""productos para hostelería""",2,11,3.29
proveedor de cosmeticos coreanos,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,4,6.32
perfumes árabes mayoreo méxico,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,12,2.86
equipo para cocina,Phrase match (close variant),MX - Food,Shop_Phrase,"""tienda de hostelería""",2,7,3.21
donde comprar botanas por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,37,3.18
fábrica de bancos para barra,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""muebles para bar""",2,5,2.18
donde comprar perfumes originales a mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,7,1.64
facturar amazon mx,Phrase match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",2,7,18.35
volt bebida precio mayoreo,Phrase match (close variant),MX - Food,Wholesales_Food_Phrase,"""venta de bebidas al por mayor""",2,3,0.74
como facturar compras de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""cómo facturar en amazon""",2,3,11.23
amazon mexico en español compras por internet,Broad match,MX - Generic AMZ,Generic_Wholesales_Broad,amazon compra por mayor,2,5,7.45
donde comprar ramen por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,11,2.61
vajilla para cafeteria,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",2,6,2.66
productos de amaranto mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,4,2.44
remate de mobiliario para restaurante,Phrase match,MX - Food,Furniture_Restaurant_Phrase,"""mobiliario de restaurante""",2,17,3.3
distribuidora de tintes kuul,Phrase match (close variant),MX - Beauty,Hair Styling_Distributors_Phrase,"""distribuidores de productos para el cabello""",2,5,2.75
donde comprar cosmeticos por mayoreo en cdmx,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,13,2.83
perfumes por mayoreo originales,Phrase match (close variant),MX - Beauty,Fragrance_Wholesale_Phrase,"""mayorista de perfume""",2,7,2.66
muebles para barberia,Exact match (close variant),MX - Beauty,Furniture_Hair_Exact,[muebles de barbero],2,26,2.13
desodorantes por mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,6,2.14
maquillaje yuya mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,3,2.64
playeras por mayoreo lisas,Phrase match (close variant),MX - Materials,Materials_Suppliers_Textiles_Phrase,"""proveedores textiles""",2,9,1.99
amazon ads mexico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon negocios""",2,4,11.24
distribuidor de gorras,Exact match (close variant),MX - Apparel,Accessories_Distributor_Exact,[distribuidores de gorras],2,6,1.52
freidora industrial de gas,Phrase match (close variant),MX - Food,Generic_Phrase,"""suministros para hostelería""",2,16,5.92
máquina de café para negocio,Phrase match (close variant),MX - Food,Coffee Machines_Phrase,"""máquinas de café profesionales""",2,5,1.44
vasos de plastico personalizados,Phrase match (close variant),MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",2,16,6.2
como facturar en amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",2,6,23.24
amazon business coupon,Phrase match,MX - Brand Phrase,Pure_Phrase,"""amazon business""",2,5,0.15
mobiliario para oficinas,Exact match,MX - Office,Furniture_Exact,[mobiliario para oficinas],2,6,3.91
proveedores de papelería por mayoreo cdmx,Phrase match (close variant),MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",2,12,12.82
varilla para soldadura autogena,Phrase match (close variant),MX - Crafts,Professional Tools_Procurement_Phrase,"""suministro de soldadura""",2,1,0.71
portapapeles de plástico,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,2,2.63
distribuidores de productos de belleza para negocio en méxico,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,13,5.81
muebles para estetica,Exact match (close variant),MX - Beauty,Furniture_Cosmetics_Exact,[muebles de salón belleza],2,47,2.19
distribuidores de perfumes originales en mexico,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,7,3.65
proveedor perfumes arabes,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,9,4.19
distribuidor de tintes kuul,Phrase match (close variant),MX - Beauty,Hair Styling_Distributors_Phrase,"""distribuidores de productos para el cabello""",2,8,4
bazar de equipo usado para restaurante,Phrase match (close variant),MX - Food,Products_Phrase,"""productos para hostelería""",2,6,3.4
horno industrial precio,Phrase match (close variant),MX - Crafts,Professional Tools_Distributor_Phrase,"""distribuidor de hornos""",2,4,2.98
herramientas klein tools,Phrase match (close variant),MX - Crafts,Hand Tools_Phrase,"""herramientas manuales profesionales""",2,3,1.89
www terramarbrands com mx,Phrase match (close variant),MX - Beauty,Products_Cosmetics_Phrase,"""productos de belleza profesionales""",2,46,1.4
donde comprar vasos desechables al por mayor,Phrase match (close variant),MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",2,4,3.13
proveedores de nuez,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",2,1,3.94
maquina industrial para hacer hielo,Exact match (close variant),MX - Food,Restaurant_Phrase,"""máquinas de hielo profesionales""",2,6,2.34
vasos personalizados para negocio,Phrase match (close variant),MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",2,17,2.21
cremas victoria secret mayoreo,Phrase match (close variant),MX - Beauty,Skin Care_Wholesale_Phrase,"""mayorista de productos para el cuidado de la piel""",2,4,4.15
proveedores maquillaje mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],2,6,4.77
desodorantes mayoreo,Phrase match (close variant),MX - Beauty,Skin Care_Supplier_Phrase,"""proveedor de desodorantes""",2,3,1.68
perfumes g5 mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Wholesale_Phrase,"""mayorista de perfume""",2,18,2.98
jabón roma mayoreo,Phrase match (close variant),MX - Janitorial,Soap_Wholesale_Phrase,"""jabón mayorista""",2,4,2.78
se pueden facturar las compras de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""facturar compras de amazon""",2,13,7.69
amazon mayorista,Exact match (close variant),MX - Generic AMZ,Generic_Wholesales_Purchasing_Exact,[comprar al por mayor amazon],2,4,1.08
cerveza mayoreo cdmx,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",2,7,2.07
cervezas por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",2,1,2.32
ferrero rocher distribuidores,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,1,2.22
hot wheels baratos al por mayor,Phrase match (close variant),MX - Shops,Shops_Suppliers_Toys Shop_Phrase,"""distribuidores de juguetes""",2,4,2.33
papeleria office max,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,1,3.06
promocion amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa de amazon""",2,9,2.33
libretas economicas por mayoreo,Phrase match (close variant),MX - Office,Office Furniture_Wholesale_Phrase,"""papeleras al por mayor""",2,16,4.89
separadores de archivos,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",2,2,1.62
compra de papeleria por mayoreo,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],2,11,1.97
playeras para hombre mayoreo,Phrase match (close variant),MX - Apparel,Tops Men_Wholesales_Phrase,"""camisetas para hombre al por mayor""",2,6,4.74
lotes pacsun,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",2,1,1.74
playeras de futbol por mayoreo,Phrase match (close variant),MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",2,4,2.84
nutella food service,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",2,9,2.21
coca cola mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",2,16,2.64
horno lisa unox,Phrase match (close variant),MX - Food,Products_Machines_Phrase,"""electrodomésticos para restaurante""",2,4,2.42
distribuidora de dulces en guadalajara,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",2,3,3.54
cortinas para parabrisas de camiones,Phrase match (close variant),MX - Automotive,Purchasing_Phrase,"""comprar accesorios para camiones""",2,1,2.78
salchicha food service,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",2,10,2.94
barra para cafeteria,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""muebles para bar""",2,24,2.31
italia deluxe méxico mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,5,2.95
donde comprar perfumes originales por mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",2,18,3.46
venta de tazas por mayoreo cdmx,Phrase match (close variant),MX - Food,Kitchen Tools_Suppliers_Phrase,"""proveedores tazas""",2,26,5.77
proveedores de ropa en puebla,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,9,1.51
como facturar un pedido de amazon,Exact match (close variant),MX - Invoice AMZ,Invoicing_Exact,[pedir factura amazon],2,2,2.56
como se puede facturar en amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",2,8,6.27
estantes para tienda de abarrotes precio,Phrase match (close variant),MX - Shops,Shops_Generic_Phrase,"""equipos para tiendas""",2,3,1.68
abarrotes mayoreo cerca de mi,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,8,3.14
ropa deportiva para revender directo de fábrica,Phrase match (close variant),MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",2,19,2.68
venta de ropa de perros por mayor,Exact match (close variant),MX - Pets,Apparel_Wholesales_Exact,[Ropa Perro al por Mayor],2,3,2.99
proveedores de elf,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,8,2.7
proveedores de aceite comestible por mayoreo,Phrase match,MX - Food,Condiments_Suppliers_Phrase,"""proveedores aceite""",2,9,3.52
venta de refresco por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",2,21,2.37
pantalones american eagle hombre mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,4,1.87
playeras blancas por mayoreo baratas,Phrase match (close variant),MX - Apparel,Tops_Distributor_Phrase,"""distribuidores de camisetas""",2,5,4.02
