Keyword status	Keyword	Match type	Campaign	Ad group	Status	Impr.	Clicks	Cost	Final URL
Enabled	[proveedores para mayoristas]	Exact match	MX - Generic	Wholesales_Suppliers_Exact	Eligible	180	23	66.95	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_857545461007
Enabled	[proveedor para mayoristas]	Exact match	MX - Generic	Wholesales_Suppliers_Exact	Limited	564	77	136.37	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_834738314768
Enabled	"""compras para negocios"""	Phrase match	MX - Generic	Enterprises_Buy_Phrase	Limited	"2,373"	280	523.85	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_965220208042
Enabled	[proveedores al por mayor]	Exact match	MX - Generic	Wholesales_Suppliers_Exact	Eligible	"2,062"	294	478.86	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_27108168470
Enabled	"""mayorista de materiales eléctricos"""	Phrase match	MX - Crafts	Professional Tools_Wholesalers_Phrase	Limited	96	14	20.79	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Crafts_312936310469
Enabled	[ropa de trabajo]	Exact match	MX - Hospitality	Clothing_Exact	Eligible	15	2	1.97	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_469187387
Enabled	"""proveedores para hoteles"""	Phrase match	MX - Hospitality	Suppliers_Phrase	Limited	442	38	86.98	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_300980883829
Enabled	[jabón para hotel]	Exact match	MX - Hospitality	Products_Exact	Limited	65	5	7.37	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_333441959929
Enabled	[toallas para hotel]	Exact match	MX - Hospitality	Products_Exact	Limited	105	10	19.61	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_311724270903
Enabled	[sábanas para hoteles]	Exact match	MX - Hospitality	Products_Exact	Limited	4	2	4.89	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_421857828696
Enabled	[suministros de hotel]	Exact match	MX - Hospitality	Generic_Exact	Limited	51	2	4.48	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Hospitality_410270233607
Enabled	[amazon business entrar]	Exact match	MX - Brand Exact	Login_Exact	Eligible	114	44	11.88	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_885941526858
Enabled	[amazon business prime login]	Exact match	MX - Brand Exact	Prime_Exact	Eligible	84	33	42.59	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_381759533191
Enabled	[cuenta de empresa en amazon]	Exact match	MX - Brand Exact	Account_Exact	Eligible	110	24	86.71	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_1365141392868
Enabled	[crear cuenta empresa amazon]	Exact match	MX - Brand Exact	Account_Exact	Eligible	72	18	29.45	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_865296889109
Enabled	[cuenta amazon business]	Exact match	MX - Brand Exact	Account_Exact	Eligible	151	35	46.81	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_384598718836
Enabled	[registrar amazon business]	Exact match	MX - Brand Exact	Account_Exact	Eligible	76	19	39.9	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_462230296231
Enabled	[crear cuenta amazon business]	Exact match	MX - Brand Exact	Account_Exact	Eligible	150	53	57	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_384598718396
Enabled	[abrir cuenta amazon business]	Exact match	MX - Brand Exact	Account_Exact	Eligible	66	12	25.96	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_462230291191
Enabled	[cuenta de amazon business]	Exact match	MX - Brand Exact	Account_Exact	Eligible	80	16	28.27	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_437560317967
Enabled	[cuenta de empresa de amazon]	Exact match	MX - Brand Exact	Account_Exact	Eligible	58	16	27.21	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_1365141392828
Enabled	[amazon business cuenta]	Exact match	MX - Brand Exact	Account_Exact	Eligible	78	19	41.78	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_384598714996
Enabled	[cuenta de negocios de amazon]	Exact match	MX - Brand Exact	Account_Exact	Eligible	56	9	12.03	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_2280623220708
Enabled	[amazon business account]	Exact match	MX - Brand Exact	Account_Exact	Eligible	190	43	85.93	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_5343911069
Enabled	[crear una cuenta business en amazon]	Exact match	MX - Brand Exact	Account_Exact	Eligible	84	31	132.99	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_1365141392388
Enabled	[amazon business méxico]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	150	46	23.95	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_931232704458
Enabled	[amazon empresa]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	371	36	84.76	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_343908679868
Enabled	[negocio amazon]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	87	12	47.35	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_903790916862
Enabled	[amazon business mexico]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	"2,587"	"1,121"	163.24	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_594484613038
Enabled	[amazon empresarial]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	204	72	38.72	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_1120324833096
Enabled	[amazon negocios mexico]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	168	66	62.96	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_973876761991
Enabled	[amazon business]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	"27,698"	"11,483"	2742.28	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_2938077214
Enabled	[amazon negocios]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	313	136	32.9	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_819153066861
Enabled	[amazon para empresas]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	85	29	13.25	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_362734969870
Enabled	[amazon para negocios]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	88	35	43.43	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_384598716236
Enabled	[business amazon]	Exact match	MX - Brand Exact	Pure_Exact	Eligible	350	152	26.59	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_5033848589
Enabled	[mercado b2b]	Exact match	MX - Generic	B2B_Marketplace_Exact	Limited	117	1	3.67	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_349271458554
Enabled	"""para empresas"""	Phrase match	MX - Generic	Core_Enterprises_Phrase	Limited	357	25	75.08	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_103797294
Enabled	[comprar al por mayor amazon]	Exact match	MX - Generic AMZ	Generic_Wholesales_Purchasing_Exact	Eligible	128	59	54.82	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_AMZ_641123192779
Enabled	[mayorista amazon]	Exact match	MX - Generic AMZ	Generic_Wholesalers_Exact	Eligible	39	19	28.91	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_AMZ_953035174684
