Search keyword report
"March 15, 2026 - March 28, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Clicks,Cost,CTR,Avg. CPC,Base max. CPC
Enabled,[wholesale canned food],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,Eligible,,USD,3.27,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_303975605503_x173370681770,24,3,28.25,12.50%,9.42, --
Enabled,[wholesale meals],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,Limited,low quality,USD,3.93,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_866179340297_x173370681770,41,5,41.46,12.20%,8.29, --
Enabled,"""wholesale foods""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Eligible,,USD,1.90,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_296136790011_y173370685570,804,89,402.31,11.07%,4.52, --
Enabled,"""bottles wholesale""",Phrase match,AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,Eligible,,USD,7.17,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_297851839330_y173370685090,360,42,217.62,11.67%,5.18, --
Enabled,[bulk chopping boards],Exact match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Exact,Eligible,,USD,1.32,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_372995565751_x173370680770,2,1,1.66,50.00%,1.66, --
Enabled,[wholesale cereals],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,Eligible,,USD,3.93,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_305796650356_x173370681770,11,3,21.18,27.27%,7.06, --
Enabled,"""disposable tableware suppliers""",Phrase match,AU_Generic_P-V_Food,Cultlery_Suppliers_Phrase,Eligible,,USD,4.16,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_316230407934_y173370684610,58,8,30.21,13.79%,3.78, --
Enabled,"""wholesale cooking""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Eligible,,USD,7.17,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_334303000314_y173370685570,105,9,42.73,8.57%,4.75, --
Enabled,"""lids wholesalers""",Phrase match,AU_Generic_P-V_Food,Cookware_Wholesalers_Phrase,Eligible,,USD,5.98,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_310148913574_y173370684370,35,2,9.65,5.71%,4.83, --
Enabled,"""bulk water bottles""",Phrase match,AU_Generic_P-V_Food,Drinks_Bulk_Phrase,Limited,below first page bid,USD,2.89,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_2205402849_y173370684850,362,51,201.51,14.09%,3.95, --
Enabled,"""pots wholesalers""",Phrase match,AU_Generic_P-V_Food,Cookware_Wholesalers_Phrase,Limited,below first page bid,USD,4.16,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_938338932391_y173370684370,39,2,10.55,5.13%,5.28, --
Enabled,"""bulk champagne""",Phrase match,AU_Generic_P-V_Food,Drinks_Bulk_Phrase,Limited,below first page bid,USD,3.27,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_346676583278_y173370684850,22,1,8.37,4.55%,8.37, --
Enabled,[wholesale biscuits],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,Eligible,,USD,5.98,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_330990797203_x173370681770,14,2,12.26,14.29%,6.13, --
Enabled,[bulk cupcake boxes],Exact match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Exact,Eligible,,USD,7.17,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_308208143749_x173370680770,7,1,7.10,14.29%,7.10, --
Enabled,[wholesale sugar],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,Eligible,,USD,2.73,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_1735961668_x173370681770,8,1,2.93,12.50%,2.93, --
Enabled,[bulk cups],Exact match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Exact,Limited,low quality,USD,1.67,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_2086742429_x173370680770,6,1,7.04,16.67%,7.04, --
Enabled,"""wholesale canned goods""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Eligible,,USD,0.97,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_300421345801_y173370685570,34,6,28.96,17.65%,4.83, --
Enabled,"""wholesale biscuits""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,Limited,below first page bid,USD,3.27,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_306511248675_y173370685570,8,1,4.42,12.50%,4.42, --
Enabled,[wholesale water],Exact match,AU_Generic_P-V_Food,Food_Wholesale_Exact,Limited,below first page bid,USD,1.58,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_300125872478_x173370681770,15,3,9.23,20.00%,3.08, --
Enabled,"""wholesale soft drinks""",Phrase match,AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,Eligible,,USD,7.17,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_303684835891_y173370685090,199,20,115.32,10.05%,5.77, --
Enabled,"""bulk buy water""",Phrase match,AU_Generic_P-V_Food,Drinks_Bulk_Phrase,Limited,below first page bid,USD,1.58,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_329589041274_y173370684850,13,3,7.14,23.08%,2.38, --
Enabled,"""jars wholesale""",Phrase match,AU_Generic_P-V_Food,Plates_Wholesale_Phrase,Limited,below first page bid,USD,2.73,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_494642135_y173370687330,182,28,118.27,15.38%,4.22, --
Enabled,"""spices wholesale""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,Limited,below first page bid,USD,3.27,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_298581528184_y173370688530,22,2,8.10,9.09%,4.05, --
Enabled,"""bulk condiments""",Phrase match,AU_Generic_P-V_Food,Condiments_Bulk_Phrase,Limited,below first page bid,USD,3.00,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_322690070762_y173370683730,49,3,10.89,6.12%,3.63, --
Enabled,[bulk champagne glasses],Exact match,AU_Generic_P-V_Food,Glassware_Bulk_Exact,Eligible,,USD,0.92,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_661142839_x173370678930,10,1,3.88,10.00%,3.88, --
Enabled,"""wholesale electronic products""",Phrase match,AU_Generic_P-V_Electronics,Electronics_Wholesale_Phrase,Limited,below first page bid,USD,7.17,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ele_315214209334_y184975937704#comp,304,23,151.97,7.57%,6.61,7.17
Enabled,"""beverages wholesale""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,Limited,below first page bid,USD,2.28,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_311211899901_y173370688530,55,7,20.99,12.73%,3.00, --
Enabled,"""commercial serving trays""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Phrase,Eligible,,USD,1.95,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_306939701682_y173370686290,87,6,18.21,6.90%,3.04, --
Enabled,"""wholesale oils""",Phrase match,AU_Generic_P-V_Food,Condiments_Wholesale_Phrase,Limited,below first page bid,USD,1.58,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_298255679756_y173370683930,17,4,10.64,23.53%,2.66, --
Enabled,"""commercial take out containers""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Phrase,Limited,below first page bid,USD,2.89,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_2291754366874_y173370686290,327,26,62.65,7.95%,2.41, --
Enabled,[bulk tumblers],Exact match,AU_Generic_P-V_Food,Glassware_Bulk_Exact,Limited,below first page bid,USD,0.76,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_3068352906_x173370678930,8,3,8.01,37.50%,2.67, --
Enabled,[commercial woks],Exact match,AU_Generic_P-V_Food,Pans_Exact,Limited,below first page bid,USD,2.89,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_316039419_x173370682250,13,2,14.25,15.38%,7.13, --
